"id","Brand_Name","Hex_Code","L","a","b","C","h","Material_Source","Extraction_Note","v_flag","SEO_Keywords","SEO_Description","Sequence","Hero50","Tropical_Adaptation_Note","Vision_Model_Anchor","Tropical_Red_Team_Warning"
"993","Wayland Void Blue","#141820","8.2","0.58","-6.19","6.22","275.4","","","archive","Wayland Void Blue — Archive Trace, #141820, near-black muted cobalt paint, cobalt paint colour, Digby Oldridge, British heritage paint, Oxfordshire colour, Oxfordshire heritage colour, luxury paint colour, Britain in colour","Wayland Void Blue — Archive Trace — near-black muted cobalt #141820. From the Digby Oldridge Archive, Britain in colour before it was sanitised.","1","TRUE","Specify elastomeric binder rated to 70°C surface temperature and reserve for north-facing or interior surfaces; at L*=8.2 this carbon-dominant near-void accumulates irradiation at near-maximum efficiency and standard alkyd systems on coral stone will fail within one dry season.","Fortification magazine interior, English Harbour: the blue-void surface dissolves into its own shadow, the faint indigo axis detectable only where a raking conservation lamp grazes the rough render grain at a near-horizontal angle.","DO NOT apply to any sun-facing exterior masonry in a high-UV Caribbean environment; at L*=8.2 thermal gain is structurally incompatible with standard binder systems on coral stone and the near-void register offers no chromatic return to justify the maintenance burden."
"994","Dragon Void Green","#141A14","8.5","-4.36","3.13","5.37","144.3","","","archive","Dragon Void Green — Archive Trace, #141A14, near-black grey paint, grey paint colour, Digby Oldridge, British heritage paint, Oxfordshire colour, luxury paint colour, Britain in colour","Dragon Void Green — Archive Trace — near-black grey #141A14. From the Digby Oldridge Archive, Britain in colour before it was sanitised.","2","TRUE","At L*=8.5 in direct equatorial irradiation this surface absorbs heat at near-maximum efficiency and the residual green axis registers at approximately zero perceived chroma under chromatic adaptation to tropical daylight, making shaded interior deployment the only context where its botanical origin reads.","Deep cellar wall of a colonial rum store, Barbados: the green-black surface dissolves into its own shadow, the chlorophyll undertone of the register legible only where diffuse north light from a ground-level vent separates it fractionally from absolute dark.","DO NOT deploy on any exterior south or west-facing surface in the Caribbean; at L*=8.5 the colour provides no decorative return and the thermal loading on coral-stone substrate will cause binder failure and salt ingress within twelve months."
"1038","Swinford Coalface","#1E1A16","9.6","1.07","3.5","3.66","73.0","","","archive","Swinford Coalface — Lock Soot, #1E1A16, near-black grey paint, grey paint colour, teal paint, verdigris paint, copper green, near black paint, dark charcoal paint, Digby Oldridge, British heritage paint, Oxfordshire colour, luxury paint colour, Britain in colour","Swinford Coalface — Lock Soot — near-black grey #1E1A16. Lock Soot. Digby Oldridge British colour archive.","3","TRUE","Specify for north-facing, shaded, or interior surfaces only; at L*=9.6 this carbon-soot register has deep roots in the lock-cottage and canal-maintenance vernacular, but that provenance offers no protection against the 18–22°C surface temperature excess it generates on sun-facing Antiguan coral stone.","Coal storage room door of a nineteenth-century lock-keeper's cottage, the warm near-black paint film thin enough that the grain of the original timber reads through as a linear archaeology of the wood's own growth rings.","DO NOT specify on sun-facing exterior masonry in the Caribbean; the carbon-black register at this depth absorbs irradiation at near-maximum efficiency and will degrade conventional binder systems within a single dry season, allowing salt-air brine ingress to the coral substrate."
"174","Monastic Gall","#2F2D2A","18.6","0.22","2.26","2.27","84.3","","","archive","Monastic Gall — Archive Trace, #2F2D2A, very dark grey paint, grey paint colour, Digby Oldridge, British heritage paint, Oxfordshire colour, luxury paint colour, Britain in colour","Monastic Gall — Archive Trace — very dark grey #2F2D2A. From the Digby Oldridge Archive, Britain in colour before it was sanitised.","4","TRUE","Specify elastomeric binder and limit to shaded or north-facing surfaces; at L*=18.6 the surface will exceed ambient temperatures by 15–17°C on sun-facing Antiguan masonry, and the iron-gall tannin register provides no UV-protective function that offsets the thermal risk in an organic lake context.","Undercroft of a plantation estate chapel, Christ Church Parish: the warm near-black lime render reads as centuries of iron-gall damp and candle residue absorbed into the calcium carbonate substrate, the surface texture visible only in the narrow shaft of light from a high grille.","DO NOT apply Monastic Gall to sun-facing exterior masonry in the Caribbean without specialist elastomeric specification; at L*=18.6 the thermal loading is incompatible with standard binders on coral stone and the near-neutral register delivers no chromatic value in exterior irradiation."
"1035","Thames Ironwork","#1C2D40","17.9","-0.57","-14.17","14.18","267.7","","","archive","Thames Ironwork — Ballast Blue, #1C2D40, very dark soft cobalt paint, cobalt paint colour, Digby Oldridge, British heritage paint, Oxfordshire colour, Oxfordshire heritage colour, luxury paint colour, Britain in colour","Thames Ironwork — Ballast Blue — very dark soft cobalt #1C2D40. Ballast Blue. Digby Oldridge British colour archive.","5","TRUE","Replace any Prussian blue component with ultramarine or phthalo blue for exterior Caribbean deployment; the photoreversible Fe³⁺ bleaching cycle in Prussian blue produces visible tonal inconsistency between sun-facing and shaded areas of a single wall plane within six to twelve months at sustained UVI 11+.","Naval magazine building, English Harbour: in raking morning light the cold blue axis briefly separates from the building's own shadow before zenith irradiation collapses both to a single near-black plane, the ballast-blue register existing only in the transitional light between dawn and high noon.","DO NOT specify Prussian blue formulations on exterior tropical elevations where maintenance cycles exceed twelve months; photoreversible bleaching and thermal micro-cracking produce a compound failure across a single wall plane that no topcoat alone can remediate."
"1005","Godstow Ultramarine","#2838A8","29.7","33.97","-61.72","70.45","298.8","Ultramarine from lapis lazuli — traded through medieval Oxford via Godstow Nunnery accounts (1130s). The most expensive pigment in medieval England.","Lapis lazuli (lazurite mineral, Afghan origin). The medieval luxury blue. Documented in illuminated manuscripts produced at Oxford scriptoria.","NEW_EXTRACTION","Godstow Ultramarine — Archive Trace, #2838A8, dark vivid violet paint, violet paint colour, Digby Oldridge, British heritage paint, Oxfordshire colour, luxury paint colour, Britain in colour","Godstow Ultramarine — Archive Trace — dark vivid violet #2838A8. Lapis lazuli (lazurite mineral, Afghan origin). The medieval luxury bl. Digby Oldridge.","6","TRUE","Seal coral-stone substrate fully before application and specify UV-stabilised acrylic binder; ultramarine aluminium silicate is photostable but capillary efflorescence through unsealed porous masonry will deposit white calcium carbonate across C*=70 and the deposits will read as maximally disruptive contamination at this depth of saturation.","Vaulted gatehouse arch at Godstow Nunnery, its stone compressed to coral masonry at an Antiguan estate: the deep ultramarine registers as lapis in shadow and prussian in the direct shaft of noon light, the medieval trade-pigment register given new atmospheric weight in the Caribbean.","DO NOT apply over unsealed coral stone in a windward coastal environment; at C*=70 any white efflorescence deposit is chromatically catastrophic and constitutes photometric failure of the deep-ultramarine effect regardless of how correctly the pigment itself was specified."
"1012","Dorchester Woad Indigo","#2E4888","31.8","12.09","-38.79","40.63","287.3","Woad-indigo (indigotin) at full extraction depth. Dorchester-on-Thames was a major woad-processing site — the town's Roman and Saxon textile trade is documented. Deep vat blue.","Indigotin (C16H10N2O2) at saturation. Dorchester-on-Thames: Roman civitas capital with documented dyeing industry. The deepest blue achievable from Isatis tinctoria — above this you need indigo proper.","NEW_EXTRACTION","Dorchester Woad-Indigo — Archive Trace, #2E4888, dark rich violet paint, violet paint colour, Digby Oldridge, British heritage paint, Oxfordshire colour, luxury paint colour, Britain in colour","Dorchester Woad-Indigo — Archive Trace — dark rich violet #2E4888. Indigotin (C16H10N2O2) at saturation. Dorchester-on-Thames: Roman civi. Digby Oldridge.","7","TRUE","Seal masonry substrate fully and specify UV-stabilised binder; at L*=31.8 this dark indigo imposes significant thermal loading on sun-facing Antiguan coral stone, and any organic woad-derived component in the formulation requires HALS-dosed encapsulation to prevent photooxidative desaturation under sustained equatorial irradiation.","Roman garrison wall, Dorchester, its woad-blue limewash register translated to coral-stone masonry in Antigua: the indigo reads as mineral-dyed cloth pressed against stone — the warm red-blue undertone apparent in raking light, compressed to near-navy in the direct zenith beam.","DO NOT specify on sun-facing exterior masonry in the Caribbean without substrate sealing and elastomeric binder; at L*=31.8 thermal gain is significant and efflorescence deposits on an indigo field at this depth read as immediately disruptive against the blue-dark surface."
"1004","Faringdon Smalt","#4050B8","38.4","27.45","-57.02","63.28","295.7","Smalt — cobalt glass ground to powder. Used in Tudor wall paintings at Faringdon House estate. C16th–C18th standard blue pigment before Prussian Blue (1704).","Synthesised from cobalt silicate glass (CoO·SiO2). Historically the primary blue in English domestic interiors 1550–1750.","NEW_EXTRACTION","Faringdon Smalt — Archive Trace, #4050B8, dark vivid violet paint, violet paint colour, Digby Oldridge, British heritage paint, Oxfordshire colour, Oxfordshire heritage colour, luxury paint colour, Britain in colour","Faringdon Smalt — Archive Trace — dark vivid violet #4050B8. Synthesised from cobalt silicate glass (CoO·SiO2). Historically the pr. Digby Oldridge.","8","TRUE","Verify that the smalt or cobalt-aluminate base uses UV-stable acrylic or polyurethane binder; at C*=63 the binder is the failure point in Caribbean exterior deployment, not the inorganic blue pigment, and chalking will progressively expose the particulate surface and reduce the perceived depth of the cobalt register.","Warehouse gable facing English Harbour, Antigua: the Faringdon smalt reads at noon as a compressed cobalt-electric blue — not decorative but mineralogical — the particulate pigment texture made visible as a granular field in the render surface under raking morning light before zenith irradiation flattens it to a single saturated plane.","DO NOT use this colour on exterior Caribbean masonry without a UV-stabilised binder; the inorganic pigment is photostable but binder chalking in sustained high-UV irradiation will progressively erode the surface depth and shift the perceived hue toward a lighter, powdery register."
"1009","Abingdon Azurite","#3068C0","44.7","12.56","-51.46","52.97","283.7","Azurite — basic copper carbonate (blue form of malachite). Documented in Abingdon Abbey accounts, 1220s, for wall decoration of the chapter house. The medieval mid-blue.","Cu3(CO3)2(OH)2. The standard medieval blue after ultramarine — less expensive than lapis, more stable than smalt. Abingdon Abbey records (1220–1538) document its purchase.","NEW_EXTRACTION","Abingdon Azurite — Archive Trace, #3068C0, deep vivid violet paint, violet paint colour, Digby Oldridge, British heritage paint, Oxfordshire colour, Oxfordshire heritage colour, luxury paint colour, Britain in colour","Abingdon Azurite — Archive Trace — deep vivid violet #3068C0. Cu3(CO3)2(OH)2. The standard medieval blue after ultramarine — less ex. Digby Oldridge.","9","TRUE","Specify a UV-stable cobalt blue or phthalo blue surrogate rather than authentic azurite on exterior Caribbean masonry; basic copper carbonate is susceptible to continued oxidation in sulfur-rich coastal atmospheres, and a mineral-stable formulation preserves the mid-blue register without the reactivity risk of the historical copper compound.","Abingdon apothecary cabinet door, its azurite pigment compressed to a painted coral-stone entrance arch in St. John's Antigua: the mid-blue reads with a faint green undertone in verandah shadow — the copper mineral register legible as material history against the dark mahogany surround — before direct sun bleaches the perceived saturation.","DO NOT specify historically-authentic azurite (basic copper carbonate) on exterior Caribbean masonry in humid salt-air environments; marine sulfur species can drive slow conversion toward copper sulfide, shifting the blue register toward grey-green contamination within eighteen months of exterior exposure."
"1041","Wallingford Sheffield","#585E66","39.6","-0.52","-5.36","5.39","264.5","","","archive","Wallingford Sheffield — Cold Steel, #585E66, dark muted cobalt paint, cobalt paint colour, iron paint, rust paint colour, industrial paint, Digby Oldridge, British heritage paint, Oxfordshire colour, luxury paint colour, Britain in colour","Wallingford Sheffield — Cold Steel — dark muted cobalt #585E66. Cold Steel. Digby Oldridge British colour archive.","10","TRUE","Specify alumina/silica-encapsulated TiO₂ to suppress photocatalytic binder chalking; at C*=5.4 in exterior Caribbean irradiation there is no chromatic register to protect, and the sole maintenance variable is TiO₂-driven binder oxidation progressively lightening the perceived grey value over 24–36 months without UV-inhibited topcoat.","Cast-iron bridge parapet at Wallingford, its cold-steel neutral re-read as a coral-stone pier cap in the Caribbean: the colour reads as structural inevitability — flat, competent, without warmth — the faint blue-cool axis perceptible only in diffuse shade against a warm coral stone adjacency.","DO NOT use standard rutile TiO₂ formulations on exterior tropical surfaces without anti-photocatalytic encapsulation; binder chalking shifts the neutral grey toward a lighter powdery reading over 36 months, eroding the architectural weight of this specification."
"1045","Ock Grease","#485055","33.5","-2.0","-4.02","4.49","243.5","","","archive","Ock Grease — Machine Oil, #485055, deep muted violet paint, violet paint colour, Digby Oldridge, British heritage paint, Oxfordshire colour, luxury paint colour, Britain in colour","Ock Grease — Machine Oil — deep muted violet #485055. Crushed first-century tegula. Not peach. Not terracotta. The specific ochre-pink. Digby Oldridge.","11","TRUE","At C*=4.5 and L*=33.5 the sole exterior Caribbean risk is thermal binder degradation at 14–16°C above ambient on sun-facing masonry; the dark cool-grey provides no chromatic signal that justifies deployment on any south-facing surface, and north-facing or shaded industrial-heritage contexts are the correct specification context.","Stone engine housing of a nineteenth-century mill on the Ock, its rendered face holding the machine-oil dark neutral: in zenith light the surface reads as structural concrete — absorbing, non-reflecting — the cool dark grey differentiating from black only in the raking light that grazes the render grain.","DO NOT specify Ock Grease on south-facing exterior masonry in the Caribbean without elastomeric binder; at L*=33.5 the surface temperature exceeds ambient by 14–16°C on sun-facing coral stone, and at C*=4.5 there is no chromatic register to justify the thermal risk on unshaded elevations."
