"id","Brand_Name","Hex_Code","L","a","b","C","h","Material_Source","Extraction_Note","v_flag","SEO_Keywords","SEO_Description","Sequence","Hero50","Colour_Memory","Light_Behaviour_Note","UV_Stability_Note","Specifier_Warning"
"993","Wayland Void Blue","#141820","8.2","0.58","-6.19","6.22","275.4","","","archive","Wayland Void Blue — Archive Trace, #141820, near-black muted cobalt paint, cobalt paint colour, Digby Oldridge, British heritage paint, Oxfordshire colour, Oxfordshire heritage colour, luxury paint colour, Britain in colour","Wayland Void Blue — Archive Trace — near-black muted cobalt #141820. From the Digby Oldridge Archive, Britain in colour before it was sanitised.","1","TRUE","Wayland Void Blue takes its register from the prehistoric smithy of the Saxons, buried beneath the Ridgeway chalk. At near-void depth depth it holds the colour of woad and deep water in winter afternoon light against pale limestone — a specific chromatic moment in the Oxfordshire landscape, extracted and fixed in the archive.","In flat English overcast this reads as a near-void that collapses any adjacent colour toward it; in low winter raking light across Cotswold stone the surface reveals its underlying chromatic axis. Reserve for south-facing walls where winter light can activate it.","Pigment family: ultramarine or smalt. English seasonal UV stability: very good; ultramarine aluminium silicate is UV-stable. Primary risk on traditional substrates: alkali sensitivity on fresh lime plaster — barrier coat required. Specify vapour-permeable binder (Sd < 0.05 m) on lime render and chalk-based plasters.","Dark register: at L*=8.2 this colour will absorb heat on south-facing masonry and is incompatible with standard lime wash on un-primed substrates — specify mineral silicate paint or a penetrating primer before application on traditional Cotswold limestone and chalk render. Listed building consent may be required for external colour changes."
"994","Dragon Void Green","#141A14","8.5","-4.36","3.13","5.37","144.3","","","archive","Dragon Void Green — Archive Trace, #141A14, near-black grey paint, grey paint colour, Digby Oldridge, British heritage paint, Oxfordshire colour, luxury paint colour, Britain in colour","Dragon Void Green — Archive Trace — near-black grey #141A14. From the Digby Oldridge Archive, Britain in colour before it was sanitised.","2","TRUE","Dragon Void Green takes its register from the ancient green lane below Dragon Hill, where St George is said to have fought. At near-void depth depth it holds the colour of verdigris and river algae in the raking morning light on a north-facing render — a specific chromatic moment in the Oxfordshire landscape, extracted and fixed in the archive.","In flat English overcast this reads as a near-void that collapses any adjacent colour toward it; in low winter raking light across Cotswold stone the surface reveals its underlying chromatic axis. Reserve for south-facing walls where winter light can activate it.","Pigment family: chromium oxide or earth green. English seasonal UV stability: excellent; inorganic mineral pigments unaffected by English UV levels. Primary risk on traditional substrates: vapour-trapping if film-forming binder used on lime render. Specify vapour-permeable binder (Sd < 0.05 m) on lime render and chalk-based plasters.","Dark register: at L*=8.5 this colour will absorb heat on south-facing masonry and is incompatible with standard lime wash on un-primed substrates — specify mineral silicate paint or a penetrating primer before application on traditional Cotswold limestone and chalk render. Listed building consent may be required for external colour changes."
"1038","Swinford Coalface","#1E1A16","9.6","1.07","3.5","3.66","73.0","","","archive","Swinford Coalface — Lock Soot, #1E1A16, near-black grey paint, grey paint colour, teal paint, verdigris paint, copper green, near black paint, dark charcoal paint, Digby Oldridge, British heritage paint, Oxfordshire colour, luxury paint colour, Britain in colour","Swinford Coalface — Lock Soot — near-black grey #1E1A16. Lock Soot. Digby Oldridge British colour archive.","3","TRUE","Swinford Coalface takes its register from the toll bridge crossing at Swinford, where the Thames runs slow through willows. At near-void depth depth it holds the colour of dried grass and goethite in the flat diffuse light of a February chalk downland — a specific chromatic moment in the Oxfordshire landscape, extracted and fixed in the archive.","In flat English overcast this reads as a near-void that collapses any adjacent colour toward it; in low winter raking light across Cotswold stone the surface reveals its underlying chromatic axis. Reserve for south-facing walls where winter light can activate it.","Pigment family: yellow iron oxide (goethite/FeOOH). English seasonal UV stability: UV-inert mineral; stable under all English weather conditions. Primary risk on traditional substrates: binder chalking on un-primed porous lime render. Specify vapour-permeable binder (Sd < 0.05 m) on lime render and chalk-based plasters.","Dark register: at L*=9.6 this colour will absorb heat on south-facing masonry and is incompatible with standard lime wash on un-primed substrates — specify mineral silicate paint or a penetrating primer before application on traditional Cotswold limestone and chalk render. Listed building consent may be required for external colour changes."
"174","Monastic Gall","#2F2D2A","18.6","0.22","2.26","2.27","84.3","","","archive","Monastic Gall — Archive Trace, #2F2D2A, very dark grey paint, grey paint colour, Digby Oldridge, British heritage paint, Oxfordshire colour, luxury paint colour, Britain in colour","Monastic Gall — Archive Trace — very dark grey #2F2D2A. From the Digby Oldridge Archive, Britain in colour before it was sanitised.","4","TRUE","From the dissolved monastery lands — Monastic Gall takes its register from the dissolved monastery lands of the upper Thames valley. At very dark register depth it holds the colour of dried grass and goethite in the flat diffuse light of a February chalk downland — a specific chromatic moment in the Oxfordshire landscape, extracted and fixed in the archive.","In flat English overcast this reads as a near-void that collapses any adjacent colour toward it; in low winter raking light across Cotswold stone the surface reveals its underlying chromatic axis. Reserve for south-facing walls where winter light can activate it.","Pigment family: yellow iron oxide (goethite/FeOOH). English seasonal UV stability: UV-inert mineral; stable under all English weather conditions. Primary risk on traditional substrates: binder chalking on un-primed porous lime render. Specify vapour-permeable binder (Sd < 0.05 m) on lime render and chalk-based plasters.","Dark register: at L*=18.6 this colour will absorb heat on south-facing masonry and is incompatible with standard lime wash on un-primed substrates — specify mineral silicate paint or a penetrating primer before application on traditional Cotswold limestone and chalk render. Listed building consent may be required for external colour changes."
"1035","Thames Ironwork","#1C2D40","17.9","-0.57","-14.17","14.18","267.7","","","archive","Thames Ironwork — Ballast Blue, #1C2D40, very dark soft cobalt paint, cobalt paint colour, Digby Oldridge, British heritage paint, Oxfordshire colour, Oxfordshire heritage colour, luxury paint colour, Britain in colour","Thames Ironwork — Ballast Blue — very dark soft cobalt #1C2D40. Ballast Blue. Digby Oldridge British colour archive.","5","TRUE","Thames Ironwork takes its register from the working river — lock gates, ballast barges, ironwork worn by tidal cycles. At very dark register depth it holds the colour of woad and deep water in winter afternoon light against pale limestone — a specific chromatic moment in the Oxfordshire landscape, extracted and fixed in the archive.","In flat English overcast this reads as a near-void that collapses any adjacent colour toward it; in low winter raking light across Cotswold stone the surface reveals its underlying chromatic axis. Reserve for south-facing walls where winter light can activate it.","Pigment family: ultramarine or smalt. English seasonal UV stability: very good; ultramarine aluminium silicate is UV-stable. Primary risk on traditional substrates: alkali sensitivity on fresh lime plaster — barrier coat required. Specify vapour-permeable binder (Sd < 0.05 m) on lime render and chalk-based plasters.","Dark register: at L*=17.9 this colour will absorb heat on south-facing masonry and is incompatible with standard lime wash on un-primed substrates — specify mineral silicate paint or a penetrating primer before application on traditional Cotswold limestone and chalk render. Listed building consent may be required for external colour changes."
"1005","Godstow Ultramarine","#2838A8","29.7","33.97","-61.72","70.45","298.8","Ultramarine from lapis lazuli — traded through medieval Oxford via Godstow Nunnery accounts (1130s). The most expensive pigment in medieval England.","Lapis lazuli (lazurite mineral, Afghan origin). The medieval luxury blue. Documented in illuminated manuscripts produced at Oxford scriptoria.","NEW_EXTRACTION","Godstow Ultramarine — Archive Trace, #2838A8, dark vivid violet paint, violet paint colour, Digby Oldridge, British heritage paint, Oxfordshire colour, luxury paint colour, Britain in colour","Godstow Ultramarine — Archive Trace — dark vivid violet #2838A8. Lapis lazuli (lazurite mineral, Afghan origin). The medieval luxury bl. Digby Oldridge.","6","TRUE","Godstow Ultramarine is drawn from ultramarine from lapis lazuli — traded through medieval oxford via godstow nunnery accounts (1130s). the most expensive pigment in medieval england. At very dark register depth it reads in the early dusk light of the Oxfordshire downland, the colour of sloe and manganese violet in the the ruined nunnery at Godstow, where the Thames water meadows flood each winter.","Holds its depth under English diffuse light and advances slightly in the low-angled October and November sun; on north-facing renders it reads as its true self, stable and unshifted. In bright July noon on limestone it contracts perceptibly.","Pigment family: manganese violet or organic lake. English seasonal UV stability: moderate; verify pigment concentration before external deployment. Primary risk on traditional substrates: gradual bathochromic shift toward blue-grey under prolonged UV exposure. Specify vapour-permeable binder (Sd < 0.05 m) on lime render and chalk-based plasters.","Standard heritage specification: confirm vapour-permeability (Sd < 0.05 m) before applying to traditional lime render, chalk plaster, or Cotswold limestone. Film-forming binders are incompatible with active lime substrates and rising damp conditions common in the Oxfordshire clay vale. Listed building applications require conservation officer approval."
"1012","Dorchester Woad Indigo","#2E4888","31.8","12.09","-38.79","40.63","287.3","Woad-indigo (indigotin) at full extraction depth. Dorchester-on-Thames was a major woad-processing site — the town's Roman and Saxon textile trade is documented. Deep vat blue.","Indigotin (C16H10N2O2) at saturation. Dorchester-on-Thames: Roman civitas capital with documented dyeing industry. The deepest blue achievable from Isatis tinctoria — above this you need indigo proper.","NEW_EXTRACTION","Dorchester Woad-Indigo — Archive Trace, #2E4888, dark rich violet paint, violet paint colour, Digby Oldridge, British heritage paint, Oxfordshire colour, luxury paint colour, Britain in colour","Dorchester Woad-Indigo — Archive Trace — dark rich violet #2E4888. Indigotin (C16H10N2O2) at saturation. Dorchester-on-Thames: Roman civi. Digby Oldridge.","7","TRUE","Dorchester Woad Indigo is drawn from woad-indigo (indigotin) at full extraction depth. dorchester-on-thames was a major woad-processing site — the town's roman and saxon textile trade is documented. deep vat blue. At mid-dark depth it reads in winter afternoon light against pale limestone, the colour of woad and deep water in the the Roman walled town at Dorchester-on-Thames, built on Iron Age earthworks.","Holds its depth under English diffuse light and advances slightly in the low-angled October and November sun; on north-facing renders it reads as its true self, stable and unshifted. In bright July noon on limestone it contracts perceptibly.","Pigment family: ultramarine or smalt. English seasonal UV stability: very good; ultramarine aluminium silicate is UV-stable. Primary risk on traditional substrates: alkali sensitivity on fresh lime plaster — barrier coat required. Specify vapour-permeable binder (Sd < 0.05 m) on lime render and chalk-based plasters.","Standard heritage specification: confirm vapour-permeability (Sd < 0.05 m) before applying to traditional lime render, chalk plaster, or Cotswold limestone. Film-forming binders are incompatible with active lime substrates and rising damp conditions common in the Oxfordshire clay vale. Listed building applications require conservation officer approval."
"1004","Faringdon Smalt","#4050B8","38.4","27.45","-57.02","63.28","295.7","Smalt — cobalt glass ground to powder. Used in Tudor wall paintings at Faringdon House estate. C16th–C18th standard blue pigment before Prussian Blue (1704).","Synthesised from cobalt silicate glass (CoO·SiO2). Historically the primary blue in English domestic interiors 1550–1750.","NEW_EXTRACTION","Faringdon Smalt — Archive Trace, #4050B8, dark vivid violet paint, violet paint colour, Digby Oldridge, British heritage paint, Oxfordshire colour, Oxfordshire heritage colour, luxury paint colour, Britain in colour","Faringdon Smalt — Archive Trace — dark vivid violet #4050B8. Synthesised from cobalt silicate glass (CoO·SiO2). Historically the pr. Digby Oldridge.","8","TRUE","Faringdon Smalt is drawn from smalt — cobalt glass ground to powder. used in tudor wall paintings at faringdon house estate. c16th–c18th standard blue pigment before prussian blue (1704). At mid-dark depth it reads in the early dusk light of the Oxfordshire downland, the colour of sloe and manganese violet in the the market town at the edge of the Vale of White Horse, on the Corallian limestone ridge.","Holds its depth under English diffuse light and advances slightly in the low-angled October and November sun; on north-facing renders it reads as its true self, stable and unshifted. In bright July noon on limestone it contracts perceptibly.","Pigment family: manganese violet or organic lake. English seasonal UV stability: moderate; verify pigment concentration before external deployment. Primary risk on traditional substrates: gradual bathochromic shift toward blue-grey under prolonged UV exposure. Specify vapour-permeable binder (Sd < 0.05 m) on lime render and chalk-based plasters.","Standard heritage specification: confirm vapour-permeability (Sd < 0.05 m) before applying to traditional lime render, chalk plaster, or Cotswold limestone. Film-forming binders are incompatible with active lime substrates and rising damp conditions common in the Oxfordshire clay vale. Listed building applications require conservation officer approval."
"1009","Abingdon Azurite","#3068C0","44.7","12.56","-51.46","52.97","283.7","Azurite — basic copper carbonate (blue form of malachite). Documented in Abingdon Abbey accounts, 1220s, for wall decoration of the chapter house. The medieval mid-blue.","Cu3(CO3)2(OH)2. The standard medieval blue after ultramarine — less expensive than lapis, more stable than smalt. Abingdon Abbey records (1220–1538) document its purchase.","NEW_EXTRACTION","Abingdon Azurite — Archive Trace, #3068C0, deep vivid violet paint, violet paint colour, Digby Oldridge, British heritage paint, Oxfordshire colour, Oxfordshire heritage colour, luxury paint colour, Britain in colour","Abingdon Azurite — Archive Trace — deep vivid violet #3068C0. Cu3(CO3)2(OH)2. The standard medieval blue after ultramarine — less ex. Digby Oldridge.","9","TRUE","Abingdon Azurite is drawn from azurite — basic copper carbonate (blue form of malachite). documented in abingdon abbey accounts, 1220s, for wall decoration of the chapter house. the medieval mid-blue. At mid-dark depth it reads in winter afternoon light against pale limestone, the colour of woad and deep water in the the ancient market town at the confluence of the Ock and Thames, with a surviving abbey gateway.","The mid-tone register that performs most consistently across the English seasonal range — from February flat overcast to July noon. On Cotswold oolite it warms slightly; on chalk render it reads cooler. Most reliable for north and east-facing elevations.","Pigment family: ultramarine or smalt. English seasonal UV stability: very good; ultramarine aluminium silicate is UV-stable. Primary risk on traditional substrates: alkali sensitivity on fresh lime plaster — barrier coat required. Specify vapour-permeable binder (Sd < 0.05 m) on lime render and chalk-based plasters.","Standard heritage specification: confirm vapour-permeability (Sd < 0.05 m) before applying to traditional lime render, chalk plaster, or Cotswold limestone. Film-forming binders are incompatible with active lime substrates and rising damp conditions common in the Oxfordshire clay vale. Listed building applications require conservation officer approval."
"1041","Wallingford Sheffield","#585E66","39.6","-0.52","-5.36","5.39","264.5","","","archive","Wallingford Sheffield — Cold Steel, #585E66, dark muted cobalt paint, cobalt paint colour, iron paint, rust paint colour, industrial paint, Digby Oldridge, British heritage paint, Oxfordshire colour, luxury paint colour, Britain in colour","Wallingford Sheffield — Cold Steel — dark muted cobalt #585E66. Cold Steel. Digby Oldridge British colour archive.","10","TRUE","Wallingford Sheffield takes its register from the Norman castle town at the river crossing, its earthworks still visible. At mid-dark depth it holds the colour of woad and deep water in winter afternoon light against pale limestone — a specific chromatic moment in the Oxfordshire landscape, extracted and fixed in the archive.","Holds its depth under English diffuse light and advances slightly in the low-angled October and November sun; on north-facing renders it reads as its true self, stable and unshifted. In bright July noon on limestone it contracts perceptibly.","Pigment family: ultramarine or smalt. English seasonal UV stability: very good; ultramarine aluminium silicate is UV-stable. Primary risk on traditional substrates: alkali sensitivity on fresh lime plaster — barrier coat required. Specify vapour-permeable binder (Sd < 0.05 m) on lime render and chalk-based plasters.","Standard heritage specification: confirm vapour-permeability (Sd < 0.05 m) before applying to traditional lime render, chalk plaster, or Cotswold limestone. Film-forming binders are incompatible with active lime substrates and rising damp conditions common in the Oxfordshire clay vale. Listed building applications require conservation officer approval."
